lead_id;lead_link;source;final_stage;date_added;pipeline_22.04.2026;stage_22.04.2026;pipeline_23.04.2026;stage_23.04.2026;pipeline_24.04.2026;stage_24.04.2026;pipeline_27.04.2026;stage_27.04.2026;pipeline_28.04.2026;stage_28.04.2026
37744293;https://alladin116.amocrm.ru/leads/detail/37744293;Коол Центр;;;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев
37744287;https://alladin116.amocrm.ru/leads/detail/37744287;Коол Центр;;;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон
37744285;https://alladin116.amocrm.ru/leads/detail/37744285;Коол Центр;Закрыто и не реализовано;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;
37744279;https://alladin116.amocrm.ru/leads/detail/37744279;Коол Центр;Закрыто и не реализовано;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;
37744273;https://alladin116.amocrm.ru/leads/detail/37744273;Коол Центр;Закрыто и не реализовано;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;
37744267;https://alladin116.amocrm.ru/leads/detail/37744267;Коол Центр;Закрыто и не реализовано;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;
37745497;https://alladin116.amocrm.ru/leads/detail/37745497;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Закрыто и не реализовано
37745491;https://alladin116.amocrm.ru/leads/detail/37745491;По рекомендации;;27.04.2026;;;;;;;2. ОГЗ Фокусные;Запущен процесс оформления Договора;2. ОГЗ Фокусные;Выставлен счет
37745481;https://alladin116.amocrm.ru/leads/detail/37745481;Коол Центр;;27.04.2026;;;;;;;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен
37745435;https://alladin116.amocrm.ru/leads/detail/37745435;Коол Центр;;27.04.2026;;;;;;;1. ОГЗ Квалификация;Контакт установлен;4. ОГЗ Долгосрочные;6 месяцев
37745421;https://alladin116.amocrm.ru/leads/detail/37745421;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745419;https://alladin116.amocrm.ru/leads/detail/37745419;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Закрыто и не реализовано
37745411;https://alladin116.amocrm.ru/leads/detail/37745411;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Закрыто и не реализовано
37745391;https://alladin116.amocrm.ru/leads/detail/37745391;Коол Центр;;27.04.2026;;;;;;;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
37745387;https://alladin116.amocrm.ru/leads/detail/37745387;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745385;https://alladin116.amocrm.ru/leads/detail/37745385;Коол Центр;;27.04.2026;;;;;;;4. ОГЗ Долгосрочные;3 месяца;4. ОГЗ Долгосрочные;3 месяца
37745381;https://alladin116.amocrm.ru/leads/detail/37745381;Коол Центр;;27.04.2026;;;;;;;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев
